"name","ticker","country","listed","exchange","cik","formerly_names","current_name","original_names"
"22nd Century Group","XXII","United States",True,"NASDAQ","0001347858","Touchstone Mining LTD","22nd Century Group, Inc.","22nd Century Group, Inc.;22nd Century Limited, LLC"
"23andMe Holding","ME","United States",True,"NASDAQ","0001804591","VG Acquisition Corp.||Bleecker Street Acquisition Corp.","23andMe Holding Co.","23andMe, Inc."
"2seventy bio","TSVT","United States",True,"NASDAQ","0001860782","","2seventy bio, Inc.","2seventy bio"
"3M Company","MMM","United States",True,"NYSE","0000066740","MINNESOTA MINING & MANUFACTURING CO","3M CO","3M"
"480 Biomedical","LYRA","United States",True,"NASDAQ","0001327273","Arsenal Vascular, Inc.||WMR Biomedical Inc||480 Biomedical, Inc.||Arsenal Medical, Inc.","Lyra Therapeutics, Inc.","480 Biomedical, Inc."
"4D Molecular Therapeutics","FDMT","United States",True,"NASDAQ","0001650648","4D Molecular Therapeutics Inc","4D Molecular Therapeutics Inc.","4D Molecular Therapeutics"
"4D pharma","LBPS","United Kingdom",True,"NASDAQ","0001830162","","4D Pharma PLC","4D pharma plc"
"89bio","ETNB","United States",True,"NASDAQ","0001785173","","89bio, Inc.","89bio, Inc.;89bio Ltd."
"9 METERS BIOPHARMA","NMTR","United States",True,"NASDAQ","0001551986","Monster Digital, Inc.||Tandon Digital, Inc.||INNOVATE BIOPHARMACEUTICALS, INC.","9 METERS BIOPHARMA, INC.","9 Meters Biopharma, Inc."
"ABBOTT MEDICAL OPTICS INC","EYE","United States",True,"NASDAQ","0001168335","ADVANCED MEDICAL OPTICS INC","ABBOTT MEDICAL OPTICS INC","Abbott Medical Optics;Abbott (Ukraine)"
"ABIOMED","ABMD","United States",True,"NASDAQ","0000815094","","ABIOMED INC","Abiomed Inc."
"ABT ASSOCIATES INC","CPK","United States",True,"NYSE","0000001947","","ABT ASSOCIATES INC","Abt Associates"
"AC Immune SA","ACIU","Switzerland",True,"NASDAQ","0001651625","","AC Immune SA","AC Immune SA"
"ACADIA Pharmaceuticals","ACAD","United States",True,"NASDAQ","0001070494","","ACADIA PHARMACEUTICALS INC","ACADIA Pharmaceuticals Inc."
"ACCELERON PHARMA INC","XLRN",NULL,False,"NASDAQ","0001280600","","ACCELERON PHARMA INC","Acceleron Pharma Inc."
"ADC Therapeutics SA","ADCT","",True,"NYSE","0001771910","","ADC Therapeutics SA","ADC Therapeutics S.A."
"ADMA Biologics","ADMA","United States",True,"NASDAQ","0001368514","R&R ACQUISITION VI, INC","ADMA BIOLOGICS, INC.","ADMA Biologics, Inc."
"ADURO BIOTECH","ADRO",NULL,False,"NASDAQ","0001435049","ADURO BIOTECH, INC.||ADURO BIOTECH","CHINOOK THERAPEUTICS, INC.","Aduro Biotech, Inc."
"AEON Biopharma, Inc.","AEON",NULL,False,"NASDAQ","0001622667","Alphaeon Corp","AEON Biopharma, Inc.","AEON Biopharma, Inc."
"AIM ImmunoTech","AIM","United States",True,"AMEX","0000946644","HEMISPHERX BIOPHARMA INC","AIM ImmunoTech Inc.","AIM ImmunoTech Inc."
"AIRXPANDERS INC","AXP","United States",True,"NYSE","0001387156","","AIRXPANDERS INC","AirXpanders, Inc."
"AKCEA THERAPEUTICS","AKCA",NULL,False,"NASDAQ","0001662524","","AKCEA THERAPEUTICS, INC.","Akcea Therapeutics"
"AKORN INC","AKRX",NULL,False,"NASDAQ","0000003116","","AKORN INC","Akorn, Inc."
"ALBANY MOLECULAR RESEARCH INC","AMRI",NULL,False,"NASDAQ","0001065087","","ALBANY MOLECULAR RESEARCH INC","Albany Molecular Research, Inc."
"ALDER BIOPHARMACEUTICALS INC","ALDR",NULL,False,"NASDAQ","0001423824","","ALDER BIOPHARMACEUTICALS INC","Alder Biopharmaceuticals, Inc."
"ALEXION PHARMACEUTICALS","ALXN",NULL,False,"NASDAQ","0000899866","ALEXION PHARMACEUTICALS INC","ALEXION PHARMACEUTICALS, INC.","Alexion Pharmaceuticals"
"ALFACELL CORP","ACEL","United States",True,"NYSE","0000708717","ALFACELL CORP||Tamir Biotechnology, Inc.","TAMIR BIOTECHNOLOGY, INC.","Alfacell"
"ALGORX PHARMACEUTICALS INC","AGRX","United States",True,"NASDAQ","0001139029","NOCICEPTECH PHARMACEUTICALS INC","ALGORX PHARMACEUTICALS INC","AlgoRx Pharmaceuticals"
"ALX Oncology Holdings","ALXO","United States",True,"NASDAQ","0001810182","","ALX ONCOLOGY HOLDINGS INC","ALX Oncology Inc."
"AMAG PHARMACEUTICALS","AMAG",NULL,False,"NASDAQ","0000792977","ADVANCED MAGNETICS INC||AMAG PHARMACEUTICALS INC.","AMAG PHARMACEUTICALS, INC.","AMAG Pharmaceuticals, Inc."
"AMEDICA Corp","AMDA",NULL,False,"NASDAQ","0001269026","AMEDICA CORP||AMEDICA Corp","Sintx Technologies, Inc.","Amedica Corporation"
"AN","ALOG",NULL,False,"NASDAQ","0000006284","","ANALOGIC CORP","Analogic Corporation"
"ANIMAS CORP","PUMP","United States",True,"NYSE","0001033660","","ANIMAS CORP","Animas Corporation"
"APPLIED GENETIC TECHNOLOGIES CORP","AGTC","United States",True,"NASDAQ","0001273636","","APPLIED GENETIC TECHNOLOGIES CORP","Applied Genetic Technologies Corp"
"AQUINOX PHARMACEUTICALS INC","AQXP",NULL,False,"NASDAQ","0001404644","AQUINOX PHARMACEUTICALS, INC||AQUINOX PHARMACEUTICALS (USA) INC","Neoleukin Therapeutics, Inc.","Aquinox Pharmaceuticals (Canada) Inc."
"ARADIGM CORP","ARDM",NULL,False,"NASDAQ","0001013238","","ARADIGM CORP","Aradigm Corporation"
"ARCA biopharma","ABIO","United States",True,"NASDAQ","0000907654","NUVELO INC||HYSEQ INC","ARCA biopharma, Inc.","ARCA Biopharma, Inc."
"ARGOS THERAPEUTICS INC","ARGS",NULL,False,"NASDAQ","0001105533","MERIX BIOSCIENCE INC","ARGOS THERAPEUTICS INC","Argos Therapeutics"
"ARIAD PHARMACEUTICALS INC","ARIA",NULL,False,"NASDAQ","0000884731","","ARIAD PHARMACEUTICALS INC","Ariad Pharmaceuticals"
"ARQULE INC","ARQL",NULL,False,"NASDAQ","0001019695","","ARQULE INC","ArQule, Inc. (a wholly owned subsidiary of Merck Sharp and Dohme, a subsidiary of Merck & Co., Inc.)"
"ARRAY BIOPHARMA INC","ARRY","United States",True,"NASDAQ","0001100412","","ARRAY BIOPHARMA INC","Array BioPharma"
