ticker,date,close
CAPR,2022-02-10,$4.33
CAPR,2022-02-09,$4.44
CAPR,2022-02-08,$4.26
CAPR,2022-02-07,$4.43
CAPR,2022-02-04,$4.24
CAPR,2022-02-03,$4.13
CAPR,2022-02-02,$3.74
CAPR,2022-02-01,$3.67
CAPR,2022-01-31,$3.57
CAPR,2022-01-28,$3.15
CAPR,2022-01-27,$2.95
CAPR,2022-01-26,$3.20
CAPR,2022-01-25,$3.44
CAPR,2022-01-24,$2.83
CAPR,2022-01-21,$2.89
CAPR,2022-01-20,$2.94
CAPR,2022-01-19,$2.94
CAPR,2022-01-18,$3.02
CAPR,2022-01-14,$3.09
CAPR,2022-01-13,$3.07
CAPR,2022-01-12,$3.19
CAPR,2022-01-11,$3.18
CAPR,2022-01-10,$3.07
CAPR,2022-01-07,$3.02
CAPR,2022-01-06,$2.99
CAPR,2022-01-05,$2.99
CAPR,2022-01-04,$3.12
CAPR,2022-01-03,$3.18
CAPR,2021-12-31,$2.93
CAPR,2021-12-30,$3.00
CAPR,2021-12-29,$2.94
CAPR,2021-12-28,$2.97
CAPR,2021-12-27,$3.22
CAPR,2021-12-23,$3.39
CAPR,2021-12-22,$3.26
CAPR,2021-12-21,$3.16
CAPR,2021-12-20,$3.23
CAPR,2021-12-17,$3.29
CAPR,2021-12-16,$3.21
CAPR,2021-12-15,$3.16
CAPR,2021-12-14,$3.03
CAPR,2021-12-13,$3.02
CAPR,2021-12-10,$3.12
CAPR,2021-12-09,$3.20
CAPR,2021-12-08,$3.30
CAPR,2021-12-07,$3.15
CAPR,2021-12-06,$2.96
CAPR,2021-12-03,$2.89
CAPR,2021-12-02,$3.06
CAPR,2021-12-01,$3.21
CAPR,2022-02-10,$4.33
CAPR,2022-02-09,$4.44
CAPR,2022-02-08,$4.26
CAPR,2022-02-07,$4.43
CAPR,2022-02-04,$4.24
CAPR,2022-02-03,$4.13
CAPR,2022-02-02,$3.74
CAPR,2022-02-01,$3.67
CAPR,2022-01-31,$3.57
CAPR,2022-01-28,$3.15
CAPR,2022-01-27,$2.95
CAPR,2022-01-26,$3.20
CAPR,2022-01-25,$3.44
CAPR,2022-01-24,$2.83
CAPR,2022-01-21,$2.89
CAPR,2022-01-20,$2.94
CAPR,2022-01-19,$2.94
CAPR,2022-01-18,$3.02
CAPR,2022-01-14,$3.09
CAPR,2022-01-13,$3.07
CAPR,2022-01-12,$3.19
CAPR,2022-01-11,$3.18
CAPR,2022-01-10,$3.07
CAPR,2022-01-07,$3.02
CAPR,2022-01-06,$2.99
CAPR,2022-01-05,$2.99
CAPR,2022-01-04,$3.12
CAPR,2022-01-03,$3.18
CAPR,2021-12-31,$2.93
CAPR,2021-12-30,$3.00
CAPR,2021-12-29,$2.94
CAPR,2021-12-28,$2.97
CAPR,2021-12-27,$3.22
CAPR,2021-12-23,$3.39
CAPR,2021-12-22,$3.26
CAPR,2021-12-21,$3.16
CAPR,2021-12-20,$3.23
CAPR,2021-12-17,$3.29
CAPR,2021-12-16,$3.21
CAPR,2021-12-15,$3.16
CAPR,2021-12-14,$3.03
CAPR,2021-12-13,$3.02
CAPR,2021-12-10,$3.12
CAPR,2021-12-09,$3.20
CAPR,2021-12-08,$3.30
CAPR,2021-12-07,$3.15
CAPR,2021-12-06,$2.96
CAPR,2021-12-03,$2.89
CAPR,2021-12-02,$3.06
CAPR,2021-12-01,$3.21
CAPR,2021-11-30,$3.37
CAPR,2021-11-29,$3.30
CAPR,2021-11-26,$3.41
CAPR,2021-11-24,$3.38
CAPR,2021-11-23,$3.29
CAPR,2021-11-22,$3.35
CAPR,2021-11-19,$3.33
CAPR,2021-11-18,$3.22
CAPR,2021-11-17,$3.38
CAPR,2021-11-16,$3.46
CAPR,2021-11-15,$3.42
CAPR,2021-11-12,$3.46
CAPR,2021-11-11,$3.47
CAPR,2021-11-10,$3.51
CAPR,2021-11-09,$3.62
CAPR,2021-11-08,$3.68
CAPR,2021-11-05,$3.73
CAPR,2021-11-04,$3.81
CAPR,2021-11-03,$3.86
CAPR,2021-11-02,$3.89
CAPR,2021-11-01,$3.80
CAPR,2021-10-29,$3.72
CAPR,2021-10-28,$3.80
CAPR,2021-10-27,$3.81
CAPR,2021-10-26,$3.88
CAPR,2021-10-25,$3.87
CAPR,2021-10-22,$3.82
CAPR,2021-10-21,$3.99
CAPR,2021-10-20,$4.03
CAPR,2021-10-19,$3.96
CAPR,2021-10-18,$3.89
CAPR,2021-10-15,$3.96
CAPR,2021-10-14,$4.16
CAPR,2021-10-13,$4.12
CAPR,2021-10-12,$3.98
CAPR,2021-10-11,$4.07
CAPR,2021-10-08,$3.73
CAPR,2021-10-07,$3.68
CAPR,2021-10-06,$3.68
CAPR,2021-10-05,$3.84
CAPR,2021-10-04,$3.82
CAPR,2021-10-01,$3.97
CAPR,2021-09-30,$4.02
CAPR,2021-09-29,$3.88
CAPR,2021-09-28,$4.26
CAPR,2021-09-27,$4.48
CAPR,2021-09-24,$5.23
CAPR,2021-09-23,$5.02
CAPR,2021-09-22,$4.86
CAPR,2021-09-21,$4.79
CAPR,2021-09-20,$4.69
CAPR,2021-09-17,$5.03
CAPR,2021-09-16,$4.73
CAPR,2021-09-15,$4.45
CAPR,2021-09-14,$4.53
CAPR,2021-09-13,$4.77
CAPR,2021-09-10,$4.90
CAPR,2021-09-09,$5.01
CAPR,2021-09-08,$4.87
CAPR,2021-09-07,$4.88
CAPR,2021-09-03,$5.02
CAPR,2021-09-02,$4.88
CAPR,2021-09-01,$4.62
CAPR,2021-08-31,$5.01
